timecode,duration,act,scene,vo_id,key_visuals,sfx,broll,notes
00:00,90,Act 1,Cold Open,"VO-001","Black frame; line","Sub-bass","City","Hook"
01:30,240,Act 1,Founding Years 1,"VO-002","Sit-down; repos","Room","Whiteboards","Origin"
05:30,240,Act 1,Founding Years 2,"VO-003","Debates; tally","Ticks","Chats","Governance"
09:30,180,Act 1,Trailer + Book,"VO-004|VO-005","Montage; book","Motif","Printing","Beacon"
12:30,240,Act 1,Builders + Payroll,"VO-006|VO-007","Labs; wallet","UI","Phones","Belief"
16:30,180,Act 1,Rituals + Map,"VO-008|VO-009","Townhall; atlas","Crowd","Figma","Rails"
20:30,210,Act 1,Act Close,"VO-010","Sunrise","Low pad","Walk","Vow"
24:00,300,Act 2,Token Mechanics,"VO-011","Terminal; graphs","Data","Audit notes","TGE"
29:00,300,Act 2,Nations Go Live,"VO-012","Tiles; maps","Thump","Atlas","Multiverse"
34:00,300,Act 2,Global Summits,"VO-013","Stages; cities","Crowd","Travel","Nodes"
39:00,300,Act 2,Academy Deep Dive,"VO-014","Mint creds; demos","Applause","Classrooms","Belonging"
44:00,300,Act 2,Treasury Systems,"VO-015","Dashboards","Ticks","Milestones","Stewardship"
49:00,240,Act 2,Proposal Theatre,"VO-016","Bars; debates","UI","Forums","Deliberation"
53:00,240,Act 2,Builders' Journeys,"VO-017","Profiles","Soft","Homes","Citizens"
57:00,240,Act 2,Passports + Interop,"VO-018","QR; graphs","Scan","Maps","Identity"
61:00,180,Act 2,Multiplier,"VO-019","Flyovers","Air","Data overlay","Prosperity"
64:00,120,Act 2,Act Close,"VO-020","Stage black","Heartbeat","Logo pulse","Trust"
66:00,240,Act 3,ZionGPT Governance,"VO-021","Neural UI","Low","Dashboards","Guardrails"
70:00,240,Act 3,AI Passports,"VO-022","Inference UI","Ping","Proofs","Paperless"
74:00,240,Act 3,Nation-builder,"VO-023","Wizard UI","Click","Templates","Founding"
78:00,240,Act 3,Global Multiverse,"VO-024","Atlas wide","Pad","Constellations","Scale"
82:00,240,Act 3,Civic Futures,"VO-024","Conflict resolution UI","Low","Assemblies","Peace"
86:00,240,Act 3,Closing,"VO-025","Faces; black","Final swell","Founders; citizens","Call"
