timecode,duration,act,scene,vo_id,key_visuals,sfx,broll,notes
00:00,60,Act 1,Cold Open,"VO-001","Black frame; title line","Sub-bass bloom","City night","Hook"
01:00,120,Act 1,Founder Interviews,"VO-002","Side-lit sit-down; repos","Room tone","Whiteboards","Origin"
03:00,120,Act 1,First DAO Vote,"VO-003","Proposal tally","UI ticks","Wallet signs","On-chain"
05:00,120,Act 1,Trailer Montage,"VO-004","/trailer pulls","Motif rise","Global faces","Energy"
07:00,120,Act 1,Zion Book,"VO-005","Printing; readers","Soft pads","Pages; highlights","Beacon"
09:00,120,Act 1,Early Builders,"VO-006","Garage labs","Ticking","Discord; calls","Community"
11:00,120,Act 1,On-chain Payroll,"VO-007","Wallet confirm","UI ping","Phone lockscreen","Belief"
13:00,120,Act 1,Commons Rituals,"VO-008","Townhall","Crowd murmur","Screens","Ritual"
15:00,180,Act 1,The Map,"VO-009","Figma to atlas","Data hum","Map zoom","Render"
18:00,120,Act 1,Act Close,"VO-010","Sunrise walk","Low pad","Silhouette","Vow"
20:00,180,Act 2,Token Launch,"VO-011","Terminal; graph","Cheers low","Chat","TGE"
23:00,180,Act 2,Nations Go Live,"VO-012","Nation tiles","Soft thump","Atlas","Multiverse"
26:00,180,Act 2,Global Summit,"VO-013","Stages; captions","Crowd","Cities","Nodes"
29:00,180,Act 2,Academy Graduation,"VO-014","Minting creds","Applause","Families","Belonging"
32:00,180,Act 2,Treasury Motion,"VO-015","Dashboard","Data ticks","Milestones","Water"
35:00,120,Act 2,DAO Proposals,"VO-016","Bars fill","UI ticks","Signatures","Verb"
37:00,180,Act 2,Builders' Stories,"VO-017","Profiles","Soft room","Home; work","Citizens"
40:00,180,Act 2,Work Passports,"VO-018","Passport UI","Scan beep","QR; graph","Function"
43:00,120,Act 2,The Multiplier,"VO-019","Flyovers","Air rumble","Data overlay","Prosperity"
45:00,60,Act 2,Act Close,"VO-020","Stage to black","Heartbeat","Logo pulse","Trust"
46:00,180,Act 3,ZionGPT,"VO-021","Neural UI","Low throb","Dashboards","Governor"
49:00,180,Act 3,AI Passports,"VO-022","Inference UI","Confirm ping","Proofs","Paperless"
52:00,180,Act 3,Nation-builder,"VO-023","Wizard UI","Click","Templates","Weekend"
55:00,180,Act 3,Global Multiverse,"VO-024","Atlas zoom-out","Wide pad","Constellations","Scale"
58:00,120,Act 3,Closing,"VO-025","Faces; black","Final swell","Founders; citizens","Call"
